1 : None
[1.0, [1.5, 2.0, 2.5]]
[2.0, [0.0, 0.0, 0.0]]
[3.0, [1.0, 2.0, 3.0]]
[4.0, [2.6666666666666665, 3.3333333333333335, 4.0]]
[5.0, [2.0, 3.0, 5.0]]
[6.0, [2.0, 3.0, 4.0]]
[7.0, [0.0, 0.0, 0.0]]
[8.0, [2.0, 3.0, 4.0]]
[9.0, [6.0, 1.0, 2.0]]
[10.0, [2.0, 2.0, 2.0]]
...
[11.0, [1.5, 2.0, 2.5]]
[12.0, [0.0, 0.0, 0.0]]
[13.0, [1.0, 2.0, 3.0]]
[14.0, [3.0, 4.0, 5.0]]
[15.0, [2.0, 3.0, 5.0]]
[16.0, [2.0, 3.0, 4.0]]
[17.0, [0.0, 0.0, 0.0]]
[18.0, [2.0, 3.0, 4.0]]
[19.0, [6.0, 1.0, 2.0]]
[21.0, [2.0, 2.0, 2.0]]
2 :  sensor_a
[1.0, [0.0, 1.0, 2.0]]
[3.0, [2.0, 2.0, 2.0]]
[4.0, [1.0, 1.0, 1.0]]
[5.0, [1.0, 3.0, 3.0]]
[6.0, [0.0, 0.0, 0.0]]
[7.0, [1.0, 10.0, 11.0]]
[8.0, [1.0, 2.0, 3.0]]
[9.0, [4.0, 1.0, 3.0]]
[10.0, [4.0, 5.0, 6.0]]
[11.0, [0.0, 1.0, 2.0]]
...
[13.0, [2.0, 2.0, 2.0]]
[14.0, [1.0, 1.0, 1.0]]
[15.0, [1.0, 3.0, 3.0]]
[16.0, [0.0, 0.0, 0.0]]
[17.0, [1.0, 10.0, 11.0]]
[18.0, [1.0, 2.0, 3.0]]
[19.0, [4.0, 1.0, 3.0]]
[21.0, [4.0, 5.0, 6.0]]
[23.0, [5.0, 6.0, 7.0]]
[24.0, [5.0, 8.0, 9.0]]
